ABB | Abbott India Ltd | Industrials | Source ROE=34.9 | Calculated ROE=19.97 | Difference=14.93% | Category=Formula Difference
ABB | Abbott India Ltd | Industrials | Source ROE=34.9 | Calculated ROE=19.97 | Difference=14.93% | Category=Formula Difference
ABB | Abbott India Ltd | Industrials | Source ROE=34.9 | Calculated ROE=21.34 | Difference=13.56% | Category=Formula Difference
ABB | Abbott India Ltd | Industrials | Source ROE=34.9 | Calculated ROE=21.34 | Difference=13.56% | Category=Formula Difference
ABB | Abbott India Ltd | Industrials | Source ROE=34.9 | Calculated ROE=22.41 | Difference=12.49% | Category=Formula Difference
ABB | Abbott India Ltd | Industrials | Source ROE=34.9 | Calculated ROE=22.41 | Difference=12.49% | Category=Formula Difference
ABB | Abbott India Ltd | Industrials | Source ROE=34.9 | Calculated ROE=22.41 | Difference=12.49% | Category=Formula Difference
ABB | Abbott India Ltd | Industrials | Source ROE=34.9 | Calculated ROE=23.69 | Difference=11.21% | Category=Formula Difference
ABB | Abbott India Ltd | Industrials | Source ROE=34.9 | Calculated ROE=23.69 | Difference=11.21% | Category=Formula Difference
ABB | Abbott India Ltd | Industrials | Source ROE=34.9 | Calculated ROE=24.39 | Difference=10.51% | Category=Formula Difference
