,count,mean,std,min,25%,50%,75%,max
return_on_equity_pct,92.0,19.28,13.53,-5.33,11.61,15.74,22.93,77.67
debt_to_equity,92.0,1.79,3.08,0.0,0.06,0.44,1.64,14.87
revenue_cagr_5yr,92.0,24.02,4.31,3.0,24.0,24.0,24.0,47.0
operating_profit_margin_pct,92.0,25.09,18.3,0.0,16.0,21.0,28.0,100.0
